id	name	515$A	515$0	515$a	515$z	350$0	350$a	340$x
cnp00470238	Pollio ### Lucas ### 	Leipzig ### Breslau ### 	actv ### brth ### 	cnl00016122 ### cnl00033303 ### 		acti ### acti ### 	Archidiakon ### aus Breslau ### 	340 01$8ger$a1605-1643$xa1605a1643 ### 
cnp01366210	Manfredi ### Girolamo ### 	Bologne, Italie ### 	deat ### 	cnl00017069 ### 	1492 ### 	lang ### irsp ### 	Italian ### Auteur ### 	340 01$8fre$a14..-1492 ### 
cnp00441349	Frentzel ### Georg Ernst ### 	Oleśnica ### 	deat ### 	cnl00010699 ### 		acti ### 	Sohn des Juristen Balthasar Frentzel, Adoptivsohn von Georg Gerhardt ### 	340 01$8ger$a30.12.1628-06.09.1637$xa1628a1637 ### 
cnp00452918	Nietzsche ### Christoph Gotthelf Lebrecht ### 	Leipzig ### 	actv ### 	cnl00016122 ### 		acti ### 	Rechtsanwalt ### 	340 01$8ger$a06.01.1748-$xa1748u     ### 
cnp02242303	Wernicke ### Johann ### 	Berlin ### Gardelegen ### 	actv ### brth ### 	cnl00032895 ### cnl00009347 ### 		acti ### acti ### 	Beamter ### Rentmeister ### 	340 01$8ger$a1570-1630$xa1570a1630 ### 
cnp01310712	Gaubert ### Paul ### 	Ermenonville (Eure-et-Loir) ### Paris (France) ### 	brth ### deat ### 	cnl00017787 ### cnl00028999 ### 	1805 ### 1866 ### 	lang ### irsp ### 	French ### Auteur ### 	340 01$8fre$a13.03.1805-24.01.1866$xa1805a1866 ### 
cnp01339645	Gadaldini ### Paolo ### 	Modena ### Sassuolo ### 	actv ### actv ### 	cnl00011758 ### cnl00013723 ### 	1560-1590 ### 1562 ### 	prof ### irsp ### acti ### 	Imprimeur-libraire ### Auteur ### Type de document concerné: Texte imprimé ### 	340 01$8fre$a1533?-1593$xa1533a1593 ### 340 11$8fre$a1560-1590$xa1560a1590 ### 
cnp01220474	Wenig ### Tobias ### 	Oberlichtenau ### Merseburg ### 	actv ### brth ### 			acti ### 	Pfarrer ### 	340 01$8ger$a1667-1738$xa1667a1738 ### 
cnp02295828	Carus ### Charlotte Agnes Florentine ### 	Leipzig ### 	actv ### 	cnl00016122 ### 		acti ### 	Sachlich nicht klassifizierbare Personen (00p) ### 	340 01$8ger$a03.06.1802-06.03.1839$xa1802a1839 ### 
cnp00438304	Greber ### Konrad ### 	Darmstadt ### Marburg ### Alsfeld ### 	actv ### actv ### brth ### 	cnl00016025 ### cnl00011508 ### cnl00034969 ### 		acti ### acti ### 	Theologe, Superintendent in Darmstadt ### Pfarrer ### 	340 01$8ger$a1601-1667$xa1601a1667 ### 
